,GEO,grade,home_ownership,initial_list_status,purpose,term,verification_status,emp_length,last_fico_range_high,total_rec_prncp,int_rate
46178,W,B,RENT,f,credit_card, 36 months,Source Verified,3 years,759.0,8000.0,10.15
72837,W,C,RENT,f,debt_consolidation, 36 months,Source Verified,10+ years,524.0,700.96,12.99
37353,I,D,MORTGAGE,f,debt_consolidation, 36 months,Verified,2 years,549.0,11580.6,16.99
13465,I,C,MORTGAGE,f,debt_consolidation, 36 months,Source Verified,10+ years,534.0,7263.3,12.39
18956,I,C,MORTGAGE,f,debt_consolidation, 36 months,Source Verified,10+ years,754.0,20000.0,14.31
64492,E,D,RENT,w,credit_card, 60 months,Verified,< 1 year,499.0,3906.75,15.61
4848,E,C,MORTGAGE,w,debt_consolidation, 60 months,Not Verified,1 year,564.0,3993.68,14.31
61507,E,E,OWN,w,major_purchase, 36 months,Not Verified,2 years,709.0,4875.0,19.52
85890,W,A,RENT,w,credit_card, 36 months,Not Verified,5 years,629.0,2026.25,7.69
40823,E,B,MORTGAGE,w,credit_card, 36 months,Verified,,614.0,31975.0,11.67
12857,E,E,RENT,w,debt_consolidation, 36 months,Source Verified,1 year,679.0,12300.0,19.99
52387,E,D,RENT,w,debt_consolidation, 36 months,Source Verified,3 years,599.0,3855.5,16.29
52968,I,C,RENT,f,credit_card, 36 months,Source Verified,1 year,564.0,3929.15,13.35
23048,I,E,MORTGAGE,w,debt_consolidation, 60 months,Not Verified,2 years,569.0,3624.86,18.54
41915,I,C,OWN,f,major_purchase, 36 months,Not Verified,7 years,524.0,13916.8,12.99
55833,E,B,OWN,f,major_purchase, 36 months,Source Verified,10+ years,709.0,35000.0,11.67
32712,I,B,MORTGAGE,w,debt_consolidation, 36 months,Source Verified,10+ years,669.0,15000.0,12.49
93784,E,D,MORTGAGE,w,debt_consolidation, 60 months,Source Verified,10+ years,499.0,8739.92,18.24
12869,I,E,MORTGAGE,w,other, 60 months,Not Verified,8 years,529.0,5356.32,19.99
52033,I,C,MORTGAGE,w,debt_consolidation, 60 months,Not Verified,10+ years,584.0,9145.78,13.98
41381,I,C,MORTGAGE,f,debt_consolidation, 36 months,Source Verified,1 year,719.0,35000.0,13.35
96883,W,D,MORTGAGE,w,debt_consolidation, 36 months,Verified,< 1 year,504.0,4184.03,16.99
12347,E,D,RENT,f,house, 36 months,Source Verified,3 years,644.0,1494.38,17.86
33730,W,D,MORTGAGE,w,debt_consolidation, 60 months,Verified,10+ years,684.0,15000.0,17.57
75229,I,A,RENT,f,debt_consolidation, 36 months,Not Verified,1 year,584.0,1217.9,7.12
70012,W,C,RENT,f,debt_consolidation, 36 months,Source Verified,9 years,499.0,3406.19,13.35
14890,E,B,OWN,f,debt_consolidation, 36 months,Verified,6 years,564.0,15558.35,11.44
4582,E,E,MORTGAGE,w,other, 60 months,Source Verified,10+ years,664.0,2894.5,19.24
179,E,A,MORTGAGE,w,credit_card, 36 months,Source Verified,10+ years,779.0,14000.0,6.49
44780,E,D,MORTGAGE,w,small_business, 36 months,Not Verified,< 1 year,499.0,3323.84,15.61
50573,I,B,MORTGAGE,w,home_improvement, 36 months,Verified,,739.0,5000.0,10.99
542,W,B,RENT,f,debt_consolidation, 36 months,Not Verified,10+ years,689.0,6000.0,10.49
17394,E,B,MORTGAGE,w,credit_card, 36 months,Not Verified,2 years,699.0,15000.0,11.99
78705,E,A,MORTGAGE,w,other, 36 months,Not Verified,10+ years,759.0,15000.0,7.12
54999,E,C,RENT,w,credit_card, 36 months,Source Verified,1 year,654.0,10000.0,13.35
25813,I,F,MORTGAGE,w,debt_consolidation, 60 months,Verified,10+ years,659.0,14900.0,24.5
95334,I,A,RENT,f,debt_consolidation, 36 months,Not Verified,9 years,714.0,6000.0,8.39
35761,W,B,RENT,f,credit_card, 36 months,Not Verified,2 years,684.0,4200.0,12.49
98834,E,A,MORTGAGE,f,credit_card, 36 months,Source Verified,4 years,744.0,28000.0,7.12
87139,E,B,RENT,f,debt_consolidation, 60 months,Source Verified,5 years,644.0,6448.62,11.67
45576,W,C,MORTGAGE,w,debt_consolidation, 36 months,Verified,10+ years,609.0,2400.0,14.99
54402,W,B,RENT,f,credit_card, 36 months,Not Verified,3 years,684.0,5000.0,11.67
27807,I,E,MORTGAGE,f,debt_consolidation, 36 months,Verified,7 years,549.0,8938.92,19.99
74275,I,C,MORTGAGE,f,credit_card, 60 months,Verified,10+ years,534.0,11095.34,13.98
87033,W,B,RENT,f,car, 36 months,Not Verified,8 years,634.0,5000.0,10.99
16708,W,C,RENT,w,credit_card, 36 months,Not Verified,5 years,614.0,1736.33,13.66
39273,E,C,OWN,w,credit_card, 60 months,Source Verified,10+ years,764.0,14000.0,13.35
22934,W,E,MORTGAGE,w,debt_consolidation, 60 months,Not Verified,1 year,529.0,2194.64,19.24
56397,W,D,RENT,w,debt_consolidation, 36 months,Not Verified,10+ years,639.0,2890.89,16.29
58819,I,E,OWN,w,debt_consolidation, 60 months,Verified,2 years,554.0,11622.03,22.15
73841,E,D,MORTGAGE,w,debt_consolidation, 60 months,Verified,10+ years,594.0,3476.42,16.29
43450,E,A,RENT,w,credit_card, 36 months,Not Verified,10+ years,564.0,10500.0,8.39
90470,E,A,MORTGAGE,f,home_improvement, 36 months,Not Verified,2 years,799.0,18000.0,6.49
94862,E,C,RENT,w,debt_consolidation, 36 months,Verified,,499.0,3870.47,12.99
18777,I,C,MORTGAGE,w,debt_consolidation, 36 months,Verified,,539.0,972.34,13.66
41644,E,D,RENT,f,debt_consolidation, 36 months,Verified,,709.0,15000.0,16.29
90404,I,B,OWN,w,credit_card, 36 months,Source Verified,10+ years,549.0,14418.15,10.15
57285,E,F,RENT,w,debt_consolidation, 60 months,Verified,10+ years,604.0,5512.36,25.57
51970,I,D,MORTGAGE,w,debt_consolidation, 60 months,Not Verified,1 year,649.0,2147.91,15.61
55500,E,D,MORTGAGE,w,debt_consolidation, 60 months,Source Verified,1 year,684.0,28000.0,18.24
69281,W,C,OWN,f,debt_consolidation, 36 months,Source Verified,10+ years,614.0,10000.0,14.99
45880,E,B,MORTGAGE,f,credit_card, 36 months,Not Verified,4 years,644.0,4464.04,10.99
75382,E,B,MORTGAGE,f,debt_consolidation, 60 months,Source Verified,10+ years,544.0,15444.71,11.67
70458,W,B,RENT,f,debt_consolidation, 36 months,Source Verified,3 years,499.0,5024.47,11.67
17345,E,C,OWN,w,credit_card, 36 months,Verified,5 years,579.0,18333.97,12.39
27924,E,D,RENT,f,debt_consolidation, 36 months,Verified,7 years,709.0,14975.0,15.99
50798,E,E,RENT,f,debt_consolidation, 36 months,Not Verified,2 years,554.0,1274.85,19.52
87463,I,E,MORTGAGE,w,debt_consolidation, 60 months,Source Verified,10+ years,604.0,9532.35,19.52
15351,E,E,RENT,w,debt_consolidation, 60 months,Not Verified,1 year,574.0,1576.58,18.54
52135,E,B,MORTGAGE,w,debt_consolidation, 36 months,Verified,,559.0,3058.96,12.49
10831,E,B,RENT,f,debt_consolidation, 36 months,Not Verified,8 years,779.0,10000.0,10.49
45007,E,D,MORTGAGE,w,debt_consolidation, 36 months,Source Verified,< 1 year,679.0,5300.0,15.61
3718,I,D,MORTGAGE,w,credit_card, 60 months,Verified,10+ years,749.0,35000.0,15.99
36736,I,C,RENT,w,other, 36 months,Source Verified,6 years,674.0,15000.0,12.99
49419,I,B,MORTGAGE,f,home_improvement, 36 months,Verified,10+ years,569.0,13141.8,9.17
67118,E,D,RENT,w,credit_card, 60 months,Source Verified,8 years,624.0,5930.54,17.57
31474,E,C,RENT,f,debt_consolidation, 36 months,Not Verified,1 year,759.0,2800.0,12.99
37692,I,B,RENT,f,debt_consolidation, 36 months,Not Verified,4 years,734.0,2400.0,11.67
5960,I,A,MORTGAGE,w,debt_consolidation, 36 months,Not Verified,3 years,754.0,12000.0,7.49
32383,I,D,MORTGAGE,w,debt_consolidation, 60 months,Source Verified,3 years,544.0,4767.95,16.29
28702,E,G,MORTGAGE,w,debt_consolidation, 60 months,Source Verified,10+ years,699.0,25975.0,25.99
57460,I,D,OWN,w,debt_consolidation, 60 months,Verified,10+ years,549.0,3193.84,15.61
71957,I,C,RENT,w,debt_consolidation, 36 months,Not Verified,3 years,554.0,930.01,13.35
82371,E,D,RENT,f,debt_consolidation, 36 months,Source Verified,8 years,509.0,7000.0,15.61
5897,I,B,RENT,w,debt_consolidation, 36 months,Verified,,779.0,6000.0,8.67
70414,E,D,RENT,f,debt_consolidation, 36 months,Source Verified,4 years,504.0,5347.7,16.99
67276,I,C,OWN,w,credit_card, 36 months,Verified,,539.0,4275.63,12.99
56241,W,C,RENT,w,debt_consolidation, 36 months,Source Verified,1 year,744.0,16000.0,13.35
97461,E,D,MORTGAGE,f,home_improvement, 36 months,Source Verified,10+ years,509.0,4685.74,17.57
92350,I,E,RENT,w,credit_card, 60 months,Source Verified,10+ years,729.0,19150.0,18.99
42406,E,B,OWN,w,debt_consolidation, 36 months,Source Verified,10+ years,674.0,15000.0,12.49
97382,E,D,MORTGAGE,w,debt_consolidation, 60 months,Not Verified,2 years,684.0,18750.0,18.24
24976,E,D,MORTGAGE,f,other, 36 months,Not Verified,9 years,669.0,7350.0,17.14
36082,E,C,MORTGAGE,w,debt_consolidation, 36 months,Source Verified,,704.0,10000.0,13.35
8954,E,B,RENT,f,credit_card, 36 months,Verified,< 1 year,654.0,12000.0,11.44
94973,I,D,RENT,w,credit_card, 60 months,Verified,,509.0,5500.16,18.24
88034,E,D,OWN,f,credit_card, 60 months,Source Verified,10+ years,564.0,4148.71,16.99
4937,E,C,MORTGAGE,f,debt_consolidation, 60 months,Source Verified,10+ years,589.0,584.62,12.39
21290,E,A,RENT,f,debt_consolidation, 36 months,Source Verified,,639.0,8939.22,6.99
53023,E,B,MORTGAGE,f,debt_consolidation, 36 months,Not Verified,10+ years,709.0,15000.0,10.99
67485,I,B,MORTGAGE,f,home_improvement, 36 months,Source Verified,10+ years,524.0,4640.27,9.17
70449,I,C,MORTGAGE,f,debt_consolidation, 36 months,Verified,1 year,794.0,8000.0,14.49
95137,I,B,MORTGAGE,w,credit_card, 36 months,Not Verified,2 years,569.0,5782.67,9.17
7018,I,D,MORTGAGE,f,other, 36 months,Verified,3 years,559.0,13462.18,16.49
20896,W,B,RENT,f,debt_consolidation, 36 months,Not Verified,10+ years,584.0,13000.0,11.99
31531,E,C,RENT,w,debt_consolidation, 60 months,Source Verified,10+ years,739.0,16000.0,12.39
96901,E,C,RENT,w,debt_consolidation, 36 months,Not Verified,< 1 year,609.0,6000.0,14.49
27711,E,B,RENT,w,credit_card, 36 months,Verified,,549.0,9011.7,10.49
1877,E,C,RENT,f,debt_consolidation, 36 months,Not Verified,< 1 year,714.0,3925.0,12.99
80485,I,F,MORTGAGE,f,home_improvement, 60 months,Source Verified,< 1 year,709.0,20000.0,24.5
46331,I,D,MORTGAGE,w,credit_card, 60 months,Verified,2 years,684.0,22400.0,16.99
32009,E,A,MORTGAGE,w,debt_consolidation, 36 months,Not Verified,10+ years,759.0,16000.0,7.12
87199,W,B,RENT,f,credit_card, 36 months,Source Verified,2 years,684.0,10000.0,10.99
81541,E,G,OWN,f,home_improvement, 36 months,Verified,,624.0,4192.01,25.8
95768,W,E,RENT,w,debt_consolidation, 60 months,Verified,10+ years,659.0,1992.74,18.99
3928,W,B,MORTGAGE,f,credit_card, 36 months,Source Verified,6 years,674.0,9000.0,8.67
26441,I,A,MORTGAGE,f,debt_consolidation, 36 months,Source Verified,6 years,674.0,20000.0,8.19
29978,I,D,OWN,f,debt_consolidation, 36 months,Source Verified,10+ years,499.0,6222.59,17.86
41195,E,C,RENT,f,debt_consolidation, 36 months,Source Verified,1 year,599.0,2629.79,13.35
32701,E,B,RENT,f,debt_consolidation, 36 months,Source Verified,2 years,549.0,6953.47,11.67
79475,I,C,RENT,f,debt_consolidation, 36 months,Source Verified,7 years,629.0,9600.0,13.98
71552,I,B,MORTGAGE,f,credit_card, 36 months,Verified,6 years,574.0,6514.06,9.17
86464,E,A,RENT,f,credit_card, 36 months,Not Verified,2 years,744.0,12000.0,8.39
43781,E,C,MORTGAGE,w,debt_consolidation, 60 months,Source Verified,10+ years,554.0,8384.47,13.98
74511,I,D,MORTGAGE,f,credit_card, 36 months,Verified,8 years,589.0,1249.26,15.61
3249,E,E,MORTGAGE,w,debt_consolidation, 60 months,Verified,2 years,559.0,10715.74,18.54
30719,E,F,RENT,w,major_purchase, 60 months,Verified,,534.0,11935.45,22.99
18757,W,F,RENT,w,debt_consolidation, 60 months,Source Verified,7 years,569.0,820.93,24.5
98485,E,D,MORTGAGE,f,debt_consolidation, 60 months,Verified,10+ years,544.0,4859.35,17.57
80836,I,C,OWN,f,debt_consolidation, 36 months,Not Verified,8 years,584.0,1683.07,13.98
84609,E,A,MORTGAGE,w,home_improvement, 36 months,Not Verified,10+ years,784.0,9000.0,6.49
81981,E,A,MORTGAGE,w,debt_consolidation, 36 months,Not Verified,5 years,754.0,8375.0,8.39
26929,I,A,RENT,w,credit_card, 36 months,Verified,8 years,769.0,24000.0,6.49
82543,E,C,RENT,f,credit_card, 36 months,Verified,< 1 year,644.0,3743.69,14.99
51654,E,A,RENT,w,debt_consolidation, 36 months,Verified,,724.0,1500.0,8.39
61535,E,G,MORTGAGE,f,small_business, 36 months,Verified,4 years,499.0,15527.09,25.8
49372,I,B,RENT,f,debt_consolidation, 36 months,Source Verified,< 1 year,499.0,3767.76,9.17
88837,E,B,RENT,f,other, 36 months,Not Verified,9 years,689.0,3000.0,10.99
83470,I,B,MORTGAGE,f,debt_consolidation, 36 months,Verified,7 years,554.0,16169.76,9.17
5259,E,A,MORTGAGE,f,debt_consolidation, 36 months,Not Verified,4 years,754.0,12000.0,6.03
82447,I,E,MORTGAGE,f,debt_consolidation, 36 months,Not Verified,< 1 year,624.0,1812.3,20.2
48263,W,B,RENT,w,debt_consolidation, 36 months,Verified,,759.0,5875.0,11.67
75327,I,A,RENT,f,credit_card, 36 months,Source Verified,< 1 year,694.0,5000.0,6.49
94476,E,C,RENT,f,credit_card, 36 months,Not Verified,3 years,584.0,1421.95,14.49
3482,I,C,OWN,f,credit_card, 36 months,Verified,10+ years,719.0,7500.0,12.39
11463,I,C,MORTGAGE,w,other, 60 months,Source Verified,10+ years,594.0,7183.1,14.31
13374,E,B,OWN,f,credit_card, 36 months,Not Verified,2 years,659.0,7200.0,11.99
64056,W,C,RENT,w,debt_consolidation, 36 months,Not Verified,2 years,529.0,3442.67,13.35
37146,I,D,RENT,f,debt_consolidation, 36 months,Source Verified,10+ years,644.0,7676.46,16.29
22500,W,B,RENT,w,debt_consolidation, 36 months,Source Verified,10+ years,654.0,24000.0,9.49
92319,E,F,MORTGAGE,w,debt_consolidation, 60 months,Source Verified,5 years,594.0,2215.53,23.43
43681,W,D,RENT,f,debt_consolidation, 36 months,Verified,9 years,719.0,5225.0,16.29
5517,I,C,RENT,w,credit_card, 36 months,Verified,,709.0,6025.0,13.66
7382,I,C,RENT,w,debt_consolidation, 60 months,Source Verified,1 year,554.0,1322.84,14.99
97873,I,A,MORTGAGE,f,debt_consolidation, 36 months,Verified,,804.0,7000.0,6.03
50787,I,C,RENT,f,vacation, 36 months,Verified,4 years,804.0,4000.0,14.99
35212,I,B,MORTGAGE,f,credit_card, 36 months,Source Verified,8 years,789.0,27000.0,12.49
22882,W,C,RENT,w,medical, 36 months,Source Verified,1 year,654.0,8000.0,14.99
36866,I,E,MORTGAGE,f,debt_consolidation, 36 months,Verified,7 years,544.0,7841.05,18.99
41905,I,C,RENT,f,debt_consolidation, 36 months,Source Verified,< 1 year,504.0,1895.82,14.49
66265,E,B,RENT,f,credit_card, 36 months,Not Verified,3 years,709.0,8000.0,10.99
10237,W,D,RENT,f,other, 36 months,Not Verified,10+ years,544.0,1316.02,15.59
92598,I,B,MORTGAGE,w,debt_consolidation, 60 months,Source Verified,2 years,584.0,8988.31,12.49
2972,W,B,RENT,f,debt_consolidation, 36 months,Not Verified,9 years,719.0,9000.0,11.99
76645,E,C,MORTGAGE,f,credit_card, 60 months,Verified,8 years,654.0,35000.0,14.99
82689,E,A,OWN,w,credit_card, 36 months,Verified,7 years,724.0,16000.0,8.39
65170,W,B,RENT,w,debt_consolidation, 36 months,Source Verified,6 years,639.0,20000.0,11.67
41084,I,E,OWN,w,debt_consolidation, 36 months,Verified,6 years,514.0,614.47,20.99
53920,E,C,MORTGAGE,w,debt_consolidation, 60 months,Not Verified,3 years,499.0,2919.31,14.49
22248,I,A,MORTGAGE,w,debt_consolidation, 36 months,Not Verified,10+ years,654.0,1524.94,6.99
93013,I,A,MORTGAGE,w,credit_card, 36 months,Verified,,834.0,15000.0,6.49
65108,I,B,RENT,w,debt_consolidation, 36 months,Source Verified,9 years,524.0,1681.67,11.67
55471,W,C,RENT,f,small_business, 36 months,Not Verified,5 years,669.0,8000.0,12.99
41523,E,C,RENT,w,debt_consolidation, 36 months,Source Verified,5 years,514.0,914.23,13.98
47544,E,D,RENT,w,debt_consolidation, 36 months,Source Verified,7 years,674.0,26000.0,15.61
86937,E,A,MORTGAGE,w,debt_consolidation, 36 months,Verified,4 years,719.0,25000.0,8.39
3662,I,D,MORTGAGE,f,debt_consolidation, 36 months,Verified,6 years,749.0,9900.0,17.14
64443,E,D,OWN,w,debt_consolidation, 36 months,Not Verified,8 years,609.0,5075.03,15.61
36045,E,D,MORTGAGE,w,debt_consolidation, 36 months,Source Verified,,499.0,2446.32,17.57
25683,E,B,RENT,w,credit_card, 60 months,Source Verified,3 years,609.0,4357.73,10.49
41123,E,D,RENT,w,debt_consolidation, 60 months,Source Verified,2 years,684.0,20075.0,17.57
72112,E,B,MORTGAGE,f,credit_card, 36 months,Source Verified,10+ years,679.0,4584.16,12.49
44638,E,D,MORTGAGE,w,credit_card, 60 months,Not Verified,10+ years,519.0,3347.05,18.24
89948,E,C,MORTGAGE,w,debt_consolidation, 36 months,Source Verified,6 years,619.0,35000.0,14.49
95988,W,C,MORTGAGE,w,debt_consolidation, 60 months,Verified,10+ years,799.0,30000.0,13.98
32810,W,B,MORTGAGE,w,debt_consolidation, 36 months,Source Verified,10+ years,514.0,1886.15,10.99
46258,W,C,RENT,f,debt_consolidation, 36 months,Not Verified,10+ years,549.0,407.03,14.49
4810,I,A,MORTGAGE,f,debt_consolidation, 36 months,Not Verified,10+ years,769.0,3000.0,6.49
44354,I,A,MORTGAGE,f,credit_card, 36 months,Source Verified,,664.0,6476.65,6.03
60761,I,D,RENT,w,debt_consolidation, 36 months,Verified,,594.0,3409.61,16.29
58325,E,A,RENT,f,credit_card, 36 months,Source Verified,10+ years,684.0,10000.0,8.39
64786,I,C,MORTGAGE,f,credit_card, 36 months,Verified,10+ years,764.0,4000.0,13.98
32138,E,A,RENT,w,debt_consolidation, 36 months,Verified,5 years,614.0,2794.1,8.39
20051,E,C,OWN,w,debt_consolidation, 36 months,Verified,,694.0,8400.0,12.39
66697,E,C,RENT,w,car, 36 months,Source Verified,6 years,659.0,10000.0,12.99
55588,I,B,MORTGAGE,f,debt_consolidation, 36 months,Verified,10+ years,714.0,6300.0,9.17
42687,I,B,MORTGAGE,w,credit_card, 36 months,Source Verified,1 year,499.0,11319.45,10.99
43372,E,A,RENT,w,credit_card, 36 months,Source Verified,6 years,679.0,28000.0,7.69
68155,W,D,RENT,w,debt_consolidation, 36 months,Verified,5 years,639.0,855.5,17.57
10272,I,D,MORTGAGE,w,credit_card, 60 months,Verified,2 years,714.0,35000.0,15.99
72309,I,C,RENT,f,debt_consolidation, 36 months,Verified,10+ years,744.0,7000.0,14.99
31036,E,C,OWN,w,debt_consolidation, 36 months,Source Verified,10+ years,679.0,13500.0,12.39
93996,I,E,MORTGAGE,w,debt_consolidation, 60 months,Source Verified,10+ years,589.0,9965.52,19.52
75652,E,C,MORTGAGE,w,other, 36 months,Verified,,524.0,4459.82,13.98
91875,I,B,OWN,w,other, 36 months,Not Verified,2 years,564.0,10000.0,11.67
46179,W,B,MORTGAGE,w,credit_card, 60 months,Source Verified,8 years,659.0,5176.8,10.99
178,E,A,MORTGAGE,f,debt_consolidation, 36 months,Not Verified,7 years,784.0,5000.0,6.03
18312,W,B,MORTGAGE,f,debt_consolidation, 36 months,Source Verified,8 years,604.0,8557.9,11.99
2105,I,G,RENT,f,debt_consolidation, 60 months,Source Verified,8 years,569.0,3054.15,25.83
91691,I,D,OWN,w,other, 36 months,Not Verified,1 year,499.0,4794.2,18.24
35201,I,D,MORTGAGE,w,debt_consolidation, 36 months,Not Verified,2 years,699.0,16900.0,16.29
35832,W,D,RENT,w,medical, 60 months,Source Verified,1 year,499.0,2274.94,16.29
98053,E,D,RENT,w,credit_card, 60 months,Verified,8 years,534.0,8085.39,15.61
68779,I,E,RENT,f,debt_consolidation, 60 months,Verified,< 1 year,689.0,21000.0,20.2
27314,E,C,MORTGAGE,f,debt_consolidation, 36 months,Source Verified,7 years,599.0,7000.0,13.66
20601,E,C,RENT,f,debt_consolidation, 36 months,Not Verified,6 years,524.0,1548.19,12.99
74004,I,D,MORTGAGE,w,debt_consolidation, 60 months,Verified,10+ years,579.0,2317.58,16.29
19100,E,D,RENT,f,other, 36 months,Verified,3 years,534.0,3285.35,17.86
62594,E,C,RENT,w,debt_consolidation, 36 months,Not Verified,2 years,669.0,5475.0,13.98
30113,I,C,RENT,w,debt_consolidation, 36 months,Verified,10+ years,604.0,4289.97,14.31
25618,E,D,MORTGAGE,f,vacation, 36 months,Not Verified,1 year,554.0,4800.0,15.99
76668,E,C,RENT,w,car, 36 months,Source Verified,< 1 year,589.0,1924.83,13.98
94575,E,E,RENT,f,other, 36 months,Source Verified,2 years,624.0,5000.0,22.15
44959,E,B,MORTGAGE,f,credit_card, 36 months,Source Verified,10+ years,594.0,24559.45,10.15
35701,W,D,RENT,f,small_business, 36 months,Source Verified,8 years,594.0,12952.13,16.29
33097,E,D,OWN,f,home_improvement, 36 months,Source Verified,,519.0,4196.52,15.61
38109,E,C,OWN,f,debt_consolidation, 36 months,Source Verified,,499.0,691.81,13.98
76789,E,A,MORTGAGE,w,credit_card, 36 months,Not Verified,3 years,719.0,17000.0,7.12
3364,I,C,RENT,w,debt_consolidation, 60 months,Source Verified,10+ years,769.0,11400.0,12.39
69760,I,D,RENT,f,debt_consolidation, 60 months,Source Verified,4 years,514.0,7068.84,18.24
2349,E,C,RENT,f,credit_card, 36 months,Source Verified,10+ years,539.0,5549.56,12.99
67146,E,C,MORTGAGE,f,debt_consolidation, 36 months,Not Verified,3 years,589.0,3776.3,13.98
84503,I,D,MORTGAGE,f,debt_consolidation, 36 months,Source Verified,10+ years,614.0,1078.9,16.29
93810,I,A,MORTGAGE,w,credit_card, 36 months,Not Verified,10+ years,764.0,10000.0,7.69
9618,I,B,OWN,f,debt_consolidation, 36 months,Verified,6 years,749.0,15500.0,11.44
45023,E,D,RENT,f,debt_consolidation, 36 months,Source Verified,10+ years,644.0,6800.0,15.61
86777,E,D,RENT,f,credit_card, 60 months,Verified,10+ years,574.0,3834.24,17.57
76066,I,A,RENT,f,debt_consolidation, 36 months,Source Verified,8 years,554.0,2053.75,6.49
17867,E,B,RENT,f,debt_consolidation, 60 months,Source Verified,7 years,749.0,20000.0,11.44
25305,E,C,RENT,w,debt_consolidation, 36 months,Source Verified,6 years,594.0,11704.17,14.99
61281,I,A,MORTGAGE,w,home_improvement, 36 months,Source Verified,10+ years,734.0,8000.0,6.03
93069,I,C,RENT,f,debt_consolidation, 60 months,Source Verified,10+ years,784.0,18000.0,12.99
40360,I,B,RENT,w,debt_consolidation, 36 months,Verified,6 years,544.0,717.23,11.67
86984,W,C,OWN,f,debt_consolidation, 36 months,Not Verified,10+ years,724.0,9000.0,12.99
64555,I,D,RENT,w,major_purchase, 36 months,Verified,5 years,699.0,21000.0,16.99
15368,W,B,RENT,w,credit_card, 36 months,Verified,7 years,534.0,4140.8,10.49
24806,I,B,MORTGAGE,f,other, 36 months,Not Verified,1 year,559.0,245.06,9.49
65572,W,B,MORTGAGE,w,debt_consolidation, 36 months,Verified,2 years,724.0,15000.0,9.17
65426,I,C,OWN,f,debt_consolidation, 36 months,Verified,10+ years,774.0,35000.0,14.49
3499,W,A,RENT,f,debt_consolidation, 36 months,Source Verified,6 years,529.0,7546.23,6.03
9635,I,B,MORTGAGE,f,credit_card, 36 months,Verified,5 years,739.0,20000.0,9.49
85979,I,D,MORTGAGE,w,credit_card, 36 months,Verified,3 years,594.0,19177.4,16.99
78599,W,C,MORTGAGE,f,debt_consolidation, 36 months,Not Verified,4 years,644.0,5000.0,13.35
6452,E,B,MORTGAGE,f,other, 36 months,Not Verified,10+ years,524.0,2487.12,8.67
3173,W,B,RENT,f,debt_consolidation, 36 months,Not Verified,< 1 year,709.0,11225.0,10.49
73141,E,C,RENT,f,debt_consolidation, 36 months,Verified,,589.0,2237.67,14.49
3166,I,E,RENT,w,home_improvement, 60 months,Verified,4 years,499.0,922.78,20.99
26420,E,B,RENT,w,credit_card, 36 months,Source Verified,10+ years,709.0,11200.0,10.49
46589,E,A,MORTGAGE,f,home_improvement, 36 months,Not Verified,4 years,794.0,10000.0,6.49
28026,I,E,OWN,f,debt_consolidation, 36 months,Verified,4 years,724.0,5986.22,19.24
67857,I,F,MORTGAGE,w,debt_consolidation, 60 months,Verified,3 years,499.0,18000.0,24.08
2138,E,E,RENT,w,debt_consolidation, 60 months,Verified,4 years,554.0,953.98,20.99
95671,I,B,RENT,w,debt_consolidation, 36 months,Not Verified,< 1 year,734.0,5000.0,12.49
26805,I,C,RENT,f,debt_consolidation, 36 months,Source Verified,4 years,539.0,7225.18,12.39
90137,I,C,MORTGAGE,f,debt_consolidation, 60 months,Source Verified,8 years,499.0,2962.05,14.99
57703,I,C,RENT,w,debt_consolidation, 36 months,Source Verified,< 1 year,559.0,12451.47,13.35
65013,E,C,OWN,w,debt_consolidation, 36 months,Not Verified,2 years,734.0,8000.0,14.99
57095,W,B,MORTGAGE,w,debt_consolidation, 36 months,Verified,2 years,669.0,22375.0,12.49
64552,I,C,OWN,w,credit_card, 60 months,Not Verified,< 1 year,564.0,5337.22,12.99
73297,E,A,RENT,w,debt_consolidation, 36 months,Not Verified,2 years,534.0,5596.39,6.49
75353,E,A,MORTGAGE,f,debt_consolidation, 36 months,Verified,< 1 year,704.0,24000.0,7.12
69122,I,B,MORTGAGE,w,debt_consolidation, 36 months,Source Verified,10+ years,734.0,14000.0,10.15
4798,I,D,RENT,w,debt_consolidation, 60 months,Verified,10+ years,534.0,1430.85,16.49
81790,W,F,RENT,f,other, 36 months,Verified,2 years,499.0,823.01,25.57
80518,E,D,RENT,f,debt_consolidation, 36 months,Verified,< 1 year,574.0,1385.87,17.57
94808,I,E,RENT,f,debt_consolidation, 36 months,Source Verified,8 years,554.0,3000.0,20.99
15050,E,A,MORTGAGE,w,home_improvement, 36 months,Verified,10+ years,744.0,9000.0,6.49
34279,I,C,OWN,w,debt_consolidation, 36 months,Not Verified,7 years,719.0,2400.0,12.99
67240,I,E,RENT,f,debt_consolidation, 60 months,Source Verified,10+ years,564.0,4101.24,22.15
15402,W,E,RENT,w,debt_consolidation, 60 months,Verified,10+ years,594.0,6433.58,18.54
38210,E,B,RENT,w,credit_card, 60 months,Verified,5 years,604.0,1604.39,12.49
95348,I,E,OWN,w,credit_card, 60 months,Verified,,694.0,19350.0,19.52
58095,E,F,MORTGAGE,w,debt_consolidation, 60 months,Source Verified,3 years,549.0,1752.96,23.43
54441,I,D,MORTGAGE,f,debt_consolidation, 36 months,Source Verified,10+ years,699.0,35000.0,16.99
55822,E,D,OWN,f,other, 36 months,Not Verified,3 years,549.0,2287.99,15.61
83821,E,C,MORTGAGE,f,debt_consolidation, 36 months,Source Verified,3 years,559.0,2470.85,14.49
